,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號就下班之前利束然準事由回覆所組組報告完畢,"[['呃', '就', 10, 11], ['中', '下', 11, 12], ['午', '班', 12, 13], ['提', '利', 15, 16], ['供', '束', 16, 17], ['假', '然', 17, 18], ['意', '準', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23], ['計', '所', 23, 24], ['管', '組', 24, 25]]",0.1724137931034483,0.3103448275862069
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那目點是在九週一號開將會開始做沿機以及專料的相關準備,"[['重', '目', 1, 2], ['固', '九', 5, 6], ['定', '週', 6, 7], ['死', '一', 7, 8], ['起', '號', 8, 9], ['中', '開', 9, 10], ['機', '將', 10, 11], ['新', '會', 11, 12], ['講', '開', 12, 13], ['積', '始', 13, 14], ['壓', '做', 14, 15], ['力', '沿', 15, 16], ['用', '機', 16, 17], ['請', '以', 17, 18], ['高', '專', 19, 20], ['壓', '料', 20, 21], ['請', '的', 21, 22], ['去', '相', 22, 23], ['剛', '關', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.8076923076923077
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,喔計管室辦做檢務那請宣導同仁要配合而且要注意,"[['受', '喔', 0, 1], ['到', '計', 1, 2], ['盡', '辦', 4, 5], ['止', '做', 5, 6], ['停', '檢', 6, 7], ['冊', '務', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.3181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,一一請各單位在一月五號前中午完成年報的作業,"[['第', '一', 0, 1], ['八', '五', 9, 10], ['業', '年', 16, 17], ['份', '報', 17, 18], ['報', '作', 19, 20], ['工', '業', 20, 21]]",0.21739130434782608,0.391304347826087
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,到利掌部喔面到戶外作作那陸院計部,"[['進', '到', 0, 1], ['行', '利', 1, 2], ['用', '掌', 2, 3], ['呃', '喔', 4, 5], ['結', '面', 5, 6], ['管', '到', 6, 7], ['林', '戶', 7, 8], ['業', '作', 10, 11], ['時', '陸', 12, 13], ['光', '院', 13, 14], ['期', '計', 14, 15], ['間', '部', 15, 16]]",0.5,0.875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好院院報報那第二件事是說本院那個資資的,"[['阿', '好', 0, 1], ['先', '院', 1, 2], ['行', '院', 2, 3], ['檢', '報', 3, 4], ['查', '報', 4, 5], ['喔', '說', 11, 12], ['備', '資', 16, 17], ['屋', '資', 17, 18], ['水', '的', 18, 19]]",0.3,0.45
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線呃全員到齊報告完畢,"[['然', '呃', 14, 15], ['後', '全', 15, 16], ['全', '員', 16, 17]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃指示所在任結的二級副主正以上長官的工作獎金,"[['院', '呃', 0, 1], ['長', '指', 1, 2], ['簽', '所', 3, 4], ['以', '在', 4, 5], ['春', '任', 5, 6], ['節', '結', 6, 7], ['管', '正', 12, 13]]",0.2608695652173913,0.30434782608695654
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十號禮拜六舉行明後兩司令部的揮室要到,"[['五', '號', 5, 6], ['即', '禮', 6, 7], ['時', '拜', 7, 8], ['就', '舉', 9, 10], ['民', '明', 11, 12], ['天', '司', 14, 15], ['工', '的', 17, 18], ['安', '揮', 18, 19]]",0.2272727272727273,0.4090909090909091
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙統組簡精長及資材組等單位,"[['導', '統', 8, 9], ['控', '組', 9, 10], ['組', '簡', 10, 11], ['織', '精', 11, 12], ['實', '長', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.25
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行的個務第一季的作用的保全督查,"[['本', '的', 5, 6], ['年', '個', 6, 7], ['度', '務', 7, 8], ['必', '第', 8, 9], ['記', '季', 10, 11], ['阿', '作', 12, 13], ['這', '用', 13, 14], ['業', '的', 14, 15], ['安', '保', 15, 16], ['件', '查', 18, 19]]",0.2777777777777778,0.3888888888888889
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情那本院的五零零的新繕案案,"[['謝', '情', 5, 6], ['個', '那', 6, 7], ['費', '五', 10, 11], ['屋', '零', 11, 12], ['室', '零', 12, 13], ['提', '新', 14, 15], ['管', '繕', 15, 16], ['工', '案', 16, 17], ['程', '案', 17, 18]]",0.3157894736842105,0.47368421052631576
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃本控所三十七三七組還有本所三個賓館,"[['電', '本', 1, 2], ['子', '控', 2, 3], ['零', '十', 5, 6], ['零', '七', 8, 9], ['九', '組', 9, 10], ['一', '個', 15, 16], ['名', '賓', 16, 17]]",0.1176470588235294,0.47058823529411764
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,這這是為為了將我件資碼加出去,"[['好', '這', 0, 1], ['不', '這', 1, 2], ['要', '是', 2, 3], ['因', '為', 3, 4], ['幫', '了', 5, 6], ['便', '將', 6, 7], ['院', '我', 7, 8], ['益', '件', 8, 9], ['畫', '資', 9, 10], ['入', '碼', 10, 11], ['管', '加', 11, 12], ['制', '出', 12, 13]]",0.4615384615384616,1.0
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告大長好報告所長回報人數,"[['週', '大', 6, 7]]",0.05882352941176471,0.058823529411764705
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,好那關於轉戶測評的部份喔今續持,"[['阿', '好', 0, 1], ['附', '那', 1, 2], ['近', '關', 2, 3], ['管', '於', 3, 4], ['舍', '轉', 4, 5], ['部', '戶', 5, 6], ['份', '測', 6, 7], ['可', '部', 9, 10], ['能', '份', 10, 11], ['回', '喔', 11, 12], ['陸', '今', 12, 13], ['的', '持', 14, 15]]",0.5333333333333333,0.8666666666666667
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長網科組本週無提報事項,"[['財', '網', 4, 5], ['務', '科', 5, 6]]",0.0,0.14285714285714285
22,而遭到糾舉還有影響安全,找到九據還有影響安全,國月豪溫光指報要擴升,"[['找', '國', 0, 1], ['到', '月', 1, 2], ['九', '豪', 2, 3], ['據', '溫', 3, 4], ['還', '光', 4, 5], ['有', '指', 5, 6], ['影', '報', 6, 7], ['響', '要', 7, 8], ['安', '擴', 8, 9], ['全', '升', 9, 10]]",0.3636363636363637,1.0
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電材組組上線,"[['子', '材', 8, 9], ['戰', '組', 9, 10]]",0.0,0.15384615384615385
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊武國副主持人代理上線,"[['建', '武', 2, 3], ['文', '國', 3, 4]]",0.0,0.16666666666666666
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,乾元計畫以及天成計畫,"[['全', '乾', 0, 1], ['到', '計', 2, 3], ['齊', '畫', 3, 4], ['然', '以', 4, 5], ['後', '及', 5, 6], ['大', '天', 6, 7]]",0.1,0.7
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好請程工計管組鍾組長,"[['加', '請', 1, 2], ['請', '程', 2, 3], ['中', '工', 3, 4]]",0.2727272727272727,0.36363636363636365
31,好好請繼續,好好請繼續,好好請謝長,"[['繼', '謝', 3, 4], ['續', '長', 4, 5]]",0.0,0.4
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,分別組導分組遙控組天頻專管組天齊專管組天有系工組等六個單位,"[['通', '分', 0, 1], ['信', '別', 1, 2], ['控', '分', 4, 5], ['陳', '天', 9, 10], ['齊', '有', 20, 21], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.13793103448275862
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,由於明晚請派那個楊副來禮拜四喔目前在辦成相報的一項報上報告完畢,"[['將', '由', 0, 1], ['天', '晚', 3, 4], ['喔', '請', 4, 5], ['你', '派', 5, 6], ['有', '個', 7, 8], ['所', '來', 10, 11], ['長', '禮', 11, 12], ['對', '四', 13, 14], ['而', '目', 15, 16], ['忙', '在', 17, 18], ['理', '成', 19, 20], ['第', '相', 20, 21], ['三', '報', 21, 22], ['十', '的', 22, 23], ['告', '上', 26, 27]]",0.42857142857142855,0.6428571428571429
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃文含表點送送本組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['書', '文', 13, 14], ['安', '含', 14, 15], ['審', '表', 15, 16], ['查', '點', 16, 17], ['表', '送', 17, 18], ['重', '送', 18, 19]]",0.14814814814814814,0.14814814814814814
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早安喔品後組本週有一項報告喔那請那個,"[['龍', '喔', 11, 12], ['的', '有', 17, 18], ['跟', '請', 24, 25]]",0.2307692307692308,0.19230769230769232
