,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供資單呃供回給各管組報告完畢,"[['假', '資', 17, 18], ['意', '單', 18, 19], ['是', '呃', 19, 20], ['由', '供', 20, 21], ['復', '給', 22, 23], ['計', '各', 23, 24]]",0.1724137931034483,0.2413793103448276
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在本案的固定資產投的風使評料有必要做做好準備,"[['固', '本', 5, 6], ['定', '案', 6, 7], ['死', '的', 7, 8], ['起', '固', 8, 9], ['中', '定', 9, 10], ['機', '資', 10, 11], ['新', '產', 11, 12], ['講', '投', 12, 13], ['積', '的', 13, 14], ['壓', '風', 14, 15], ['力', '使', 15, 16], ['用', '評', 16, 17], ['請', '料', 17, 18], ['及', '有', 18, 19], ['高', '必', 19, 20], ['壓', '要', 20, 21], ['請', '做', 21, 22], ['去', '做', 22, 23], ['剛', '好', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.8076923076923077
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,到工底要加止停習那請宣導同仁要配合而且要注意,"[['受', '到', 0, 1], ['到', '工', 1, 2], ['管', '底', 2, 3], ['室', '要', 3, 4], ['盡', '加', 4, 5], ['冊', '習', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.2727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成靶工的報份,"[['第', '所', 0, 1], ['業', '靶', 16, 17], ['份', '工', 17, 18], ['工', '份', 20, 21]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,針行那個靶鵬的海測測業那那段時間,"[['進', '針', 0, 1], ['用', '那', 2, 3], ['部', '個', 3, 4], ['呃', '靶', 4, 5], ['結', '鵬', 5, 6], ['管', '的', 6, 7], ['林', '海', 7, 8], ['外', '測', 8, 9], ['作', '測', 9, 10], ['時', '那', 12, 13], ['光', '段', 13, 14], ['期', '時', 14, 15]]",0.5,0.6875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是那本院那個營管處,"[['阿', '好', 0, 1], ['喔', '那', 11, 12], ['備', '營', 16, 17], ['屋', '管', 17, 18], ['水', '處', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃長官室上簽核的二級副主官以上長官的工作獎金,"[['院', '呃', 0, 1], ['示', '官', 2, 3], ['簽', '室', 3, 4], ['以', '上', 4, 5], ['春', '簽', 5, 6], ['節', '核', 6, 7], ['管', '官', 12, 13]]",0.2608695652173913,0.21739130434782608
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十日及十六就行明後兩國院部工安室要到,"[['五', '日', 5, 6], ['即', '及', 6, 7], ['時', '十', 7, 8], ['民', '明', 11, 12], ['天', '國', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.13636363636363635
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材組組組以及資材組等單位,"[['導', '材', 8, 9], ['控', '組', 9, 10], ['織', '組', 11, 12], ['實', '以', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.2
