,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供資本給本所組的以組報告完畢,"[['假', '資', 17, 18], ['意', '本', 18, 19], ['是', '給', 19, 20], ['由', '本', 20, 21], ['回', '所', 21, 22], ['復', '組', 22, 23], ['計', '的', 23, 24], ['管', '以', 24, 25]]",0.1724137931034483,0.3103448275862069
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那尤其是在科研建案環份要做積極檢勞並在專入機度做調正,"[['重', '尤', 1, 2], ['點', '其', 2, 3], ['固', '科', 5, 6], ['定', '研', 6, 7], ['死', '建', 7, 8], ['起', '案', 8, 9], ['中', '環', 9, 10], ['機', '份', 10, 11], ['新', '要', 11, 12], ['講', '做', 12, 13], ['壓', '極', 14, 15], ['力', '檢', 15, 16], ['用', '勞', 16, 17], ['請', '並', 17, 18], ['及', '在', 18, 19], ['高', '專', 19, 20], ['壓', '入', 20, 21], ['請', '機', 21, 22], ['去', '度', 22, 23], ['剛', '做', 23, 24], ['評', '調', 24, 25], ['備', '正', 25, 26]]",0.4615384615384616,0.8846153846153846
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管界的止停制那請宣導同仁要配合而且要注意,"[['室', '界', 3, 4], ['盡', '的', 4, 5], ['冊', '制', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.13636363636363635
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成報需的上核,"[['第', '所', 0, 1], ['業', '報', 16, 17], ['份', '需', 17, 18], ['報', '上', 19, 20], ['工', '核', 20, 21]]",0.21739130434782608,0.34782608695652173
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,那個相用的錄個解冊作業那另外還用,"[['進', '那', 0, 1], ['行', '個', 1, 2], ['用', '相', 2, 3], ['部', '用', 3, 4], ['呃', '的', 4, 5], ['結', '錄', 5, 6], ['管', '個', 6, 7], ['林', '解', 7, 8], ['外', '冊', 8, 9], ['時', '另', 12, 13], ['光', '外', 13, 14], ['期', '還', 14, 15], ['間', '用', 15, 16]]",0.5,0.8125
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先的檢備那第二件事是喔本關那個資資的,"[['阿', '好', 0, 1], ['行', '的', 2, 3], ['查', '備', 4, 5], ['院', '關', 13, 14], ['備', '資', 16, 17], ['屋', '資', 17, 18], ['水', '的', 18, 19]]",0.3,0.4
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,一長主官以及二前二級副主正以上長官的工作獎金,"[['院', '一', 0, 1], ['示', '主', 2, 3], ['簽', '官', 3, 4], ['春', '及', 5, 6], ['節', '二', 6, 7], ['的', '前', 7, 8], ['管', '正', 12, 13]]",0.2608695652173913,0.391304347826087
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十六就是明後兩天院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.0
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙個醫組組以及資材組簡單長,"[['導', '個', 8, 9], ['控', '醫', 9, 10], ['織', '組', 11, 12], ['實', '以', 12, 13], ['指', '資', 14, 15], ['位', '長', 19, 20]]",0.2,0.3
