,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供獎勵事由回復計管組報告完畢,"[['假', '獎', 17, 18], ['意', '勵', 18, 19], ['是', '事', 19, 20]]",0.1724137931034483,0.06896551724137931
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定期程的話有一些壓力喔或是說是要去做準備,"[['死', '期', 7, 8], ['起', '程', 8, 9], ['中', '的', 9, 10], ['機', '話', 10, 11], ['新', '有', 11, 12], ['講', '一', 12, 13], ['積', '些', 13, 14], ['用', '喔', 16, 17], ['請', '或', 17, 18], ['及', '是', 18, 19], ['高', '說', 19, 20], ['壓', '是', 20, 21], ['請', '要', 21, 22], ['剛', '做', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.6538461538461539
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,請計管室禁止停車那請宣導同仁要配合而且要注意,"[['受', '請', 0, 1], ['到', '計', 1, 2], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.13636363636363635
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成月份的報工,"[['業', '月', 16, 17]]",0.21739130434782608,0.17391304347826086
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院部的接焊稽核作業那春節期間,"[['用', '院', 2, 3], ['呃', '的', 4, 5], ['結', '接', 5, 6], ['管', '焊', 6, 7], ['林', '稽', 7, 8], ['外', '核', 8, 9], ['時', '春', 12, 13], ['光', '節', 13, 14]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是呃本院那個水密纜,"[['阿', '好', 0, 1], ['喔', '呃', 11, 12], ['備', '水', 16, 17], ['屋', '密', 17, 18], ['水', '纜', 18, 19]]",0.3,0.25
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽擬簽結的二級副主管以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '擬', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7]]",0.2608695652173913,0.08695652173913043
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五號十六進是明後兩天院部工安室要到,"[['即', '號', 6, 7], ['時', '十', 7, 8], ['就', '進', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.09090909090909091
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組通信及資材組等單位,"[['織', '通', 11, 12], ['實', '信', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.1
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第一季的的作業安全督檢,"[['必', '第', 8, 9], ['記', '季', 10, 11], ['阿', '的', 12, 13], ['這', '作', 13, 14], ['件', '檢', 18, 19]]",0.2777777777777778,0.05555555555555555
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院的通次室的接管期程,"[['謝', '那', 5, 6], ['費', '通', 10, 11], ['屋', '次', 11, 12], ['提', '接', 14, 15], ['工', '期', 16, 17]]",0.3157894736842105,0.2631578947368421
