,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供獎組事由回復計管組報告完畢,"[['假', '獎', 17, 18], ['意', '組', 18, 19], ['是', '事', 19, 20]]",0.1724137931034483,0.10344827586206896
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定期線電間有的的壓費大電及預校機提做準估,"[['死', '期', 7, 8], ['起', '線', 8, 9], ['中', '電', 9, 10], ['機', '間', 10, 11], ['新', '有', 11, 12], ['講', '的', 12, 13], ['積', '的', 13, 14], ['力', '費', 15, 16], ['用', '大', 16, 17], ['請', '電', 17, 18], ['高', '預', 19, 20], ['壓', '校', 20, 21], ['請', '機', 21, 22], ['去', '提', 22, 23], ['剛', '做', 23, 24], ['評', '準', 24, 25], ['備', '估', 25, 26]]",0.4615384615384616,0.6538461538461539
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,請計管制禁止停車那請宣導同仁要配合而且要注意,"[['受', '請', 0, 1], ['到', '計', 1, 2], ['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.09090909090909091
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成月務的報工,"[['業', '月', 16, 17], ['份', '務', 17, 18]]",0.21739130434782608,0.21739130434782608
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院戶的接的的鑑作業那春段期間,"[['用', '院', 2, 3], ['部', '戶', 3, 4], ['呃', '的', 4, 5], ['結', '接', 5, 6], ['管', '的', 6, 7], ['林', '的', 7, 8], ['外', '鑑', 8, 9], ['時', '春', 12, 13], ['光', '段', 13, 14]]",0.5,0.4375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是呃本院那裝污資資,"[['阿', '好', 0, 1], ['喔', '呃', 11, 12], ['個', '裝', 15, 16], ['備', '污', 16, 17], ['屋', '資', 17, 18], ['水', '資', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽擬簽級前二級副主管以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '擬', 4, 5], ['春', '簽', 5, 6], ['節', '級', 6, 7], ['的', '前', 7, 8]]",0.2608695652173913,0.17391304347826086
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五號十間進是明後天國院部工安室要到,"[['即', '號', 6, 7], ['時', '十', 7, 8], ['六', '間', 8, 9], ['就', '進', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['兩', '天', 13, 14], ['天', '國', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.22727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組通以及資管組等單位,"[['織', '通', 11, 12], ['實', '以', 12, 13], ['指', '資', 14, 15], ['材', '管', 15, 16], ['簡', '等', 17, 18]]",0.2,0.15
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第未季的的作業安全檢檢,"[['必', '第', 8, 9], ['一', '未', 9, 10], ['記', '季', 10, 11], ['阿', '的', 12, 13], ['這', '作', 13, 14], ['督', '檢', 17, 18], ['件', '檢', 18, 19]]",0.2777777777777778,0.16666666666666666
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那是本院的通公kp接升提管工程,"[['謝', '那', 5, 6], ['個', '是', 6, 7], ['費', '通', 10, 11], ['屋', '公', 11, 12], ['室', 'kpi', 12, 13], ['提', '接', 14, 15], ['管', '升', 15, 16]]",0.3157894736842105,0.42105263157894735
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零九還有本所三一零館,"[['名', '零', 16, 17]]",0.1176470588235294,0.058823529411764705
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,也不要因為方個利部納被管制期,"[['好', '也', 0, 1], ['幫', '方', 5, 6], ['便', '個', 6, 7], ['院', '利', 7, 8], ['益', '部', 8, 9], ['畫', '納', 9, 10], ['入', '被', 10, 11], ['去', '期', 13, 14]]",0.4615384615384616,0.5384615384615384
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,那附近改制部群喔估可能會陸續的,"[['阿', '那', 0, 1], ['管', '改', 3, 4], ['舍', '制', 4, 5], ['份', '群', 6, 7], ['評', '喔', 7, 8], ['的', '估', 8, 9], ['回', '會', 11, 12]]",0.5333333333333333,0.6
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,[],0.0,0.0
22,而遭到糾舉還有影響安全,找到九據還有影響安全,遭到證臺還有影響安全,"[['找', '遭', 0, 1], ['九', '證', 2, 3], ['據', '臺', 3, 4]]",0.3636363636363637,0.2727272727272727
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,全員到齊然後大成計畫,"[['元', '員', 1, 2]]",0.1,0.0
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好是謝鍾計管組鍾組長,"[['加', '是', 1, 2], ['請', '謝', 2, 3], ['中', '鍾', 3, 4]]",0.2727272727272727,0.2727272727272727
31,好好請繼續,好好請繼續,好好請繼續,[],0.0,0.0
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,"[['陳', '天', 9, 10], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.0
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,將於明天也請們個楊副所長針同我目配來辦理第三十一項報告報告完畢,"[['喔', '也', 4, 5], ['你', '請', 5, 6], ['那', '們', 6, 7], ['有', '個', 7, 8], ['拜', '針', 12, 13], ['對', '同', 13, 14], ['喔', '我', 14, 15], ['而', '目', 15, 16], ['前', '配', 16, 17], ['忙', '來', 17, 18]]",0.42857142857142855,0.4642857142857143
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['安', '含', 14, 15], ['重', '送', 18, 19]]",0.14814814814814814,0.0
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早安喔品後組本週有一項報告喔那個那個,"[['龍', '喔', 11, 12], ['的', '有', 17, 18], ['跟', '個', 24, 25]]",0.2307692307692308,0.19230769230769232
36,八年研究試製的急單提案請各個需求單位在一月三十一號之前,八年研究是製的及團提案請各需求單位在一月三十一要之前,八年研究試標的呃量隊案請各需求單位在一月三十一號之前,"[['是', '試', 4, 5], ['製', '標', 5, 6], ['及', '呃', 7, 8], ['團', '量', 8, 9], ['提', '隊', 9, 10], ['要', '號', 23, 24]]",0.1851851851851852,0.18518518518518517
37,一零八年一月十五日上線將本院定額微額履約,一零八年一月十五日上線將本院定額唯有履約,一零八年一月十五日上線將本院定額微額履約,"[['唯', '微', 16, 17], ['有', '額', 17, 18]]",0.1,0.0
38,第三件是奉旨示將安排所長在一月二十三的上的下星期,第三件事是奉解是將安排所長在一月二三點上下事蹟,第三件事是奉一示將安排所長在一月二三的上的星期,"[['解', '一', 6, 7], ['是', '示', 7, 8], ['點', '的', 18, 19], ['下', '的', 20, 21], ['事', '星', 21, 22], ['蹟', '期', 22, 23]]",0.3333333333333333,0.16666666666666666
39,那最後是所長剛指示的事項已洽詢該所的工安組組長,那最後謝所長剛解示的事項一搶詢開攝的工安組組長,那最後是所長剛指示的事項已是是該會請工安組組長,"[['謝', '是', 3, 4], ['解', '指', 7, 8], ['一', '已', 12, 13], ['搶', '是', 13, 14], ['詢', '是', 14, 15], ['開', '該', 15, 16], ['攝', '會', 16, 17], ['的', '請', 17, 18]]",0.2608695652173913,0.17391304347826086
40,第一點本所各單位跨年度工令共有三十張分屬,第一點本所各單位跨年度工電共有三十張分屬,第一點本所各單位跨年度工令共有三十張分屬,"[['電', '令', 12, 13]]",0.05,0.0
41,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,[],0.0,0.0
42,三及一月三十下下星期三兩天執行春節前的,三七月三次向想下事十三兩天執行春節前的,三一十三十就下董星期三兩天執行春節前的,"[['七', '一', 1, 2], ['月', '十', 2, 3], ['次', '十', 4, 5], ['向', '就', 5, 6], ['想', '下', 6, 7], ['下', '董', 7, 8], ['事', '星', 8, 9], ['十', '期', 9, 10]]",0.3684210526315789,0.21052631578947367
43,所長好各位長官大家好整規組本週一件事情提報那有關一百零,欸所長好各位長官大家好整規組本週一件事情提喔那有關一百零,欸所長好各位長官大家好整規組本週一件事情提報那有關一百零,"[['喔', '報', 21, 22]]",0.07407407407407407,0.037037037037037035
44,採購結果納入廠商評鑑管理請各單位配合報告完畢,採購結果納陸廠商評鑑管理請各單位配合報告完畢,採購結果納入廠商評鑑管理請各單位配合報告完畢,"[['陸', '入', 5, 6]]",0.045454545454545456,0.0
