,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃八點之前申請資就事否組組給本組報告完畢,"[['中', '八', 11, 12], ['午', '點', 12, 13], ['提', '申', 15, 16], ['供', '請', 16, 17], ['假', '資', 17, 18], ['意', '就', 18, 19], ['是', '事', 19, 20], ['由', '否', 20, 21], ['回', '組', 21, 22], ['復', '組', 22, 23], ['計', '給', 23, 24], ['管', '本', 24, 25]]",0.1724137931034483,0.41379310344827586
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在因一隔置的的材建的壓使大大做預用爐參做剛的,"[['固', '因', 5, 6], ['定', '一', 6, 7], ['死', '隔', 7, 8], ['起', '置', 8, 9], ['中', '的', 9, 10], ['機', '的', 10, 11], ['新', '材', 11, 12], ['講', '建', 12, 13], ['積', '的', 13, 14], ['力', '使', 15, 16], ['用', '大', 16, 17], ['請', '大', 17, 18], ['及', '做', 18, 19], ['高', '預', 19, 20], ['壓', '用', 20, 21], ['請', '爐', 21, 22], ['去', '參', 22, 23], ['剛', '做', 23, 24], ['評', '剛', 24, 25], ['備', '的', 25, 26]]",0.4615384615384616,0.7692307692307693
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,在計管制執制通離那請宣導同仁要配合而也要注意,"[['受', '在', 0, 1], ['到', '計', 1, 2], ['室', '制', 3, 4], ['盡', '執', 4, 5], ['止', '制', 5, 6], ['停', '通', 6, 7], ['冊', '離', 7, 8], ['那', '而', 17, 18], ['且', '也', 18, 19]]",0.18181818181818185,0.3181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所外請各單位在一月八號前前利完七所關的清點,"[['第', '所', 0, 1], ['一', '外', 1, 2], ['中', '前', 12, 13], ['午', '利', 13, 14], ['成', '七', 15, 16], ['業', '所', 16, 17], ['份', '關', 17, 18], ['報', '清', 19, 20], ['工', '點', 20, 21]]",0.21739130434782608,0.5217391304347826
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,欸軍一個的除的另場結業那春工演測,"[['進', '欸', 0, 1], ['行', '軍', 1, 2], ['用', '一', 2, 3], ['部', '個', 3, 4], ['呃', '的', 4, 5], ['結', '除', 5, 6], ['管', '的', 6, 7], ['林', '另', 7, 8], ['外', '場', 8, 9], ['作', '結', 9, 10], ['時', '春', 12, 13], ['光', '工', 13, 14], ['期', '演', 14, 15], ['間', '測', 15, 16]]",0.5,0.75
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,做先的檢查那第二件事是說本院那個智年所,"[['阿', '做', 0, 1], ['行', '的', 2, 3], ['喔', '說', 11, 12], ['備', '智', 16, 17], ['屋', '年', 17, 18], ['水', '所', 18, 19]]",0.3,0.4
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙那組簡組長請材在資材組上線然員會員齊報告完畢,"[['控', '那', 1, 2], ['資', '請', 6, 7], ['後', '員', 15, 16], ['全', '會', 16, 17], ['到', '員', 17, 18]]",0.041666666666666664,0.20833333333333334
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃公室導的上室前主個副主副以上長官的工心狀制,"[['院', '呃', 0, 1], ['長', '公', 1, 2], ['示', '室', 2, 3], ['簽', '導', 3, 4], ['以', '的', 4, 5], ['春', '上', 5, 6], ['節', '室', 6, 7], ['的', '前', 7, 8], ['二', '主', 8, 9], ['級', '個', 9, 10], ['管', '副', 12, 13], ['作', '心', 19, 20], ['獎', '狀', 20, 21], ['金', '制', 21, 22]]",0.2608695652173913,0.5652173913043478
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十段就是明後兩天那為的核次要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '段', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '那', 15, 16], ['部', '為', 16, 17], ['工', '的', 17, 18], ['安', '核', 18, 19], ['室', '次', 19, 20]]",0.2272727272727273,0.2727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙電組組精以施資控等等組長,"[['導', '電', 8, 9], ['控', '組', 9, 10], ['織', '精', 11, 12], ['實', '以', 12, 13], ['及', '施', 13, 14], ['指', '資', 14, 15], ['材', '控', 15, 16], ['組', '等', 16, 17], ['簡', '等', 17, 18], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.45
